,Name,Ground,Mat,Inns,NO,100s,50s,Ducks,4s,6s,HS,Runs,Avg,S/R,Ca,St,Batting_Score
3973,Morne Morkel,M Chinnaswamy Stadium ,5,2,1,0,0,0,0,0,2*,4,4.0,33.33,2,0,0.0021457026248571424
3974,Morne Morkel,MA Chidambaram Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
3977,Morne Morkel,Punjab Cricket Association IS Bindra Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
3978,Morne Morkel,Rajiv Gandhi International Stadium ,4,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
3979,Morne Morkel,Sawai Mansingh Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
3981,Morne Morkel,Sharjah Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
3982,Morne Morkel,Sheikh Zayed Stadium ,3,1,1,0,0,0,0,0,4*,4,0.0,133.33,2,0,0.0
3985,Morne Morkel,Wankhede Stadium ,4,2,1,0,0,0,4,1,23*,33,33.0,183.33,0,0,0.21334093274270072
3986,Chris Morris,Arun Jaitley Stadium ,15,8,3,0,1,1,11,13,82*,170,34.0,193.18,10,0,0.3377106323873625
3988,Chris Morris,Dr YS Rajasekhara Reddy Cricket Stadium ,3,2,1,0,0,0,6,3,38*,58,58.0,161.11,0,0,0.3810205934008373
3989,Chris Morris,Dubai International Cricket Stadium ,6,3,0,0,0,0,2,0,14,21,7.0,100.0,2,0,0.021637297173508215
3990,Chris Morris,Eden Gardens ,6,4,0,0,0,1,3,0,11,24,6.0,104.35,2,0,0.0201533815394998
3991,Chris Morris,M Chinnaswamy Stadium ,5,3,1,0,0,1,0,0,4,4,2.0,50.0,2,0,0.0016094379124341003
3992,Chris Morris,MA Chidambaram Stadium ,8,6,5,0,0,1,0,1,16*,29,29.0,131.82,2,0,0.13002029326670453
3994,Chris Morris,Narendra Modi Stadium ,4,1,1,0,0,0,0,0,3*,0,0.0,3.0,2,0,0.0
3995,Chris Morris,Punjab Cricket Association IS Bindra Stadium ,5,4,2,0,0,1,1,2,27*,46,23.0,135.29,3,0,0.11980388787813136
3996,Chris Morris,Rajiv Gandhi International Stadium ,4,2,1,0,0,0,0,0,4,4,4.0,50.0,2,0,0.0032188758248682006
3998,Chris Morris,Sawai Mansingh Stadium ,3,1,1,0,0,0,2,1,17*,17,0.0,242.86,2,0,0.0
4000,Chris Morris,Sharjah Cricket Stadium ,4,3,1,0,0,1,1,3,25*,28,14.0,200.0,2,0,0.09428428323962128
4001,Chris Morris,Sheikh Zayed Stadium ,3,2,0,0,0,1,1,0,4,4,2.0,100.0,3,0,0.0032188758248682006
4002,Chris Morris,Wankhede Stadium ,7,6,3,0,1,1,5,6,52*,101,33.67,132.89,2,0,0.20694007493087863
4007,Wilkin Mota,Punjab Cricket Association IS Bindra Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4008,Wilkin Mota,Sawai Mansingh Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,100.0,0,0,0.0
4011,Wilkin Mota,Wankhede Stadium ,1,1,0,0,0,0,2,0,25,25,25.0,96.15,1,0,0.07831649553269138
4012,Mujeeb Ur Rahman,Arun Jaitley Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4013,Mujeeb Ur Rahman,Dubai International Cricket Stadium ,1,1,0,0,0,0,0,0,1,1,1.0,33.33,0,0,0.00023102595528062974
4014,Mujeeb Ur Rahman,Eden Gardens ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4016,Mujeeb Ur Rahman,M Chinnaswamy Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1,0,0.0
4017,Mujeeb Ur Rahman,MA Chidambaram Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,100.0,0,0,0.0
4018,Mujeeb Ur Rahman,Narendra Modi Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4019,Mujeeb Ur Rahman,Punjab Cricket Association IS Bindra Stadium ,6,1,1,0,0,0,0,0,0*,0,0.0,0.0,0,0,0.0
4020,Mujeeb Ur Rahman,Rajiv Gandhi International Stadium ,2,2,1,0,0,1,2,0,10*,10,10.0,125.0,1,0,0.02997369090997963
4021,Mujeeb Ur Rahman,Sawai Mansingh Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4022,Mujeeb Ur Rahman,Sheikh Zayed Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4025,Mukesh Choudhary,MA Chidambaram Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4026,Mukesh Choudhary,Maharaja Yadavindra Singh International Cricket St ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4028,Mukesh Choudhary,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4029,Mukesh Choudhary,Wankhede Stadium ,3,1,0,0,0,0,1,0,4,4,4.0,100.0,1,0,0.006437751649736401
4030,Abhinav Mukund,MA Chidambaram Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1,0,0.0
4031,Abhinav Mukund,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0.0
4032,Abhinav Mukund,Sawai Mansingh Stadium ,1,1,0,0,0,0,1,0,19,19,19.0,90.48,0,0,0.05150023266112137
4033,Shams Mulani,Narendra Modi Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,100.0,0,0,0.0
4034,Shams Mulani,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4035,Wiaan Mulder,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,0,0,0,0,1,0,9,9,9.0,81.82,1,0,0.01695577610778955
4036,Shrikant Mundhe,Arun Jaitley Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4037,Colin Munro,Arun Jaitley Stadium ,4,4,0,0,0,1,5,2,33,52,13.0,115.56,2,0,0.05964490135891082
4038,Colin Munro,Dr YS Rajasekhara Reddy Cricket Stadium ,2,2,0,0,0,0,5,1,27,41,20.5,110.81,0,0,0.08490508993240592
4039,Colin Munro,Eden Gardens ,3,2,0,0,0,0,2,0,10,14,7.0,107.69,2,0,0.020414094830968788
4041,Colin Munro,Punjab Cricket Association IS Bindra Stadium ,1,1,0,0,0,0,0,0,4,4,4.0,66.67,0,0,0.004292049024879259
4042,Colin Munro,Rajiv Gandhi International Stadium ,1,1,0,0,0,0,4,3,40,40,40.0,166.67,0,0,0.2475764225430428
4043,Colin Munro,Sawai Mansingh Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
4044,Muttiah Muralitharan,Arun Jaitley Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4049,Muttiah Muralitharan,Eden Gardens ,4,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4052,Muttiah Muralitharan,M Chinnaswamy Stadium ,11,1,0,0,0,0,0,0,6,6,6.0,0.0,0,0,0.0
4053,Muttiah Muralitharan,MA Chidambaram Stadium ,14,1,0,0,0,0,0,0,1,1,1.0,0.0,5,0,0.0
4055,Muttiah Muralitharan,Narendra Modi Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4057,Muttiah Muralitharan,Punjab Cricket Association IS Bindra Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4058,Muttiah Muralitharan,Rajiv Gandhi International Stadium ,4,1,0,0,0,1,0,0,0,0,0.0,0.0,1,0,0.0
4059,Muttiah Muralitharan,Sawai Mansingh Stadium ,2,2,1,0,0,1,0,0,5*,5,5.0,45.45,0,0,0.004071773393820755
4060,Muttiah Muralitharan,Sharjah Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4064,Muttiah Muralitharan,Wankhede Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0.0
4065,Ali Murtaza,Arun Jaitley Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4068,Ali Murtaza,Eden Gardens ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4070,Ali Murtaza,M Chinnaswamy Stadium ,2,1,0,0,0,0,1,0,5,5,5.0,125.0,1,0,0.011198496682675344
4072,Ali Murtaza,Sawai Mansingh Stadium ,1,1,1,0,0,0,0,0,2*,2,0.0,40.0,0,0,0.0
4073,Ali Murtaza,Wankhede Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4074,Mustafizur Rahman,Arun Jaitley Stadium ,6,2,2,0,0,0,0,0,1*,0,0.0,1.0,0,0,0.0
4076,Mustafizur Rahman,BRSABV Ekana Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4078,Mustafizur Rahman,Dr YS Rajasekhara Reddy Cricket Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4079,Mustafizur Rahman,Dubai International Cricket Stadium ,3,1,1,0,0,0,0,0,0*,0,0.0,0.0,1,0,0.0
4080,Mustafizur Rahman,Eden Gardens ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4081,Mustafizur Rahman,M Chinnaswamy Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4082,Mustafizur Rahman,MA Chidambaram Stadium ,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4084,Mustafizur Rahman,Punjab Cricket Association IS Bindra Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4085,Mustafizur Rahman,Rajiv Gandhi International Stadium ,8,0,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0.0
4087,Mustafizur Rahman,Sawai Mansingh Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4089,Mustafizur Rahman,Sharjah Cricket Stadium ,2,2,2,0,0,0,0,1,8*,8,0.0,80.0,0,0,0.0
4090,Mustafizur Rahman,Sheikh Zayed Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4091,Mustafizur Rahman,Wankhede Stadium ,16,4,2,0,0,1,0,0,1,1,0.5,0.0,2,0,0.0
4092,Domnic Muthuswami,Arun Jaitley Stadium ,3,1,0,0,0,0,0,0,1,1,1.0,33.33,0,0,0.00023102595528062974
4093,Domnic Muthuswami,Dr YS Rajasekhara Reddy Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4094,Domnic Muthuswami,MA Chidambaram Stadium ,1,1,1,0,0,0,0,0,0*,0,0.0,0.0,0,0,0.0
4096,Shahbaz Nadeem,Arun Jaitley Stadium ,24,6,3,0,0,1,0,0,2*,6,2.0,26.09,7,0,0.0010153759157770625
4098,Shahbaz Nadeem,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,20.0,0,0,0.0
4099,Shahbaz Nadeem,Dubai International Cricket Stadium ,5,1,0,0,0,0,1,0,5,5,5.0,100.0,1,0,0.008958797346140275
4100,Shahbaz Nadeem,Eden Gardens ,3,2,1,0,0,0,0,0,6*,10,10.0,62.5,1,0,0.014986845454989815
4101,Shahbaz Nadeem,M Chinnaswamy Stadium ,5,1,0,0,0,1,0,0,0,0,0.0,0.0,1,0,0.0
4102,Shahbaz Nadeem,MA Chidambaram Stadium ,2,1,0,0,0,1,0,0,0,0,0.0,0.0,1,0,0.0
4104,Shahbaz Nadeem,Narendra Modi Stadium ,1,1,0,0,0,0,0,0,1,1,1.0,25.0,0,0,0.00017328679513998633
4105,Shahbaz Nadeem,Punjab Cricket Association IS Bindra Stadium ,3,2,1,0,0,1,0,0,3*,3,3.0,37.5,0,0,0.0015595811562598768
4106,Shahbaz Nadeem,Rajiv Gandhi International Stadium ,5,1,0,0,0,1,0,0,0,0,0.0,0.0,1,0,0.0
4108,Shahbaz Nadeem,Sawai Mansingh Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4110,Shahbaz Nadeem,Sharjah Cricket Stadium ,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4111,Shahbaz Nadeem,Sheikh Zayed Stadium ,3,2,1,0,0,0,0,0,3,5,5.0,45.45,0,0,0.004071773393820755
4112,Shahbaz Nadeem,Wankhede Stadium ,5,2,0,0,0,1,0,0,2,2,1.0,50.0,1,0,0.0005493061443340549
4113,Yogesh Nagar,Arun Jaitley Stadium ,12,10,2,0,0,1,12,7,27,155,19.38,130.25,2,0,0.12747073777019607
4115,Yogesh Nagar,Eden Gardens ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4116,Yogesh Nagar,Himachal Pradesh Cricket Association Stadium ,1,1,0,0,0,0,2,0,10,10,10.0,142.86,0,0,0.03425633186719753
4117,Yogesh Nagar,M Chinnaswamy Stadium ,1,1,0,0,0,0,2,0,16,16,16.0,106.67,2,0,0.04835501878567626
4118,Yogesh Nagar,MA Chidambaram Stadium ,2,2,2,0,0,0,1,1,44*,45,0.0,91.84,0,0,0.0
4121,Yogesh Nagar,Rajiv Gandhi International Stadium ,2,1,1,0,0,0,0,1,7*,7,0.0,233.33,0,0,0.0
4122,Yogesh Nagar,Sawai Mansingh Stadium ,1,1,1,0,0,0,1,0,9*,9,0.0,100.0,0,0,0.0
4124,Yogesh Nagar,Wankhede Stadium ,2,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
4126,Kamlesh Nagarkoti,Dubai International Cricket Stadium ,3,2,2,0,0,0,1,0,8*,9,0.0,150.0,3,0,0.0
4127,Kamlesh Nagarkoti,Sharjah Cricket Stadium ,3,3,1,0,0,0,0,0,6,13,6.5,56.52,0,0,0.009695368817540538
4128,Kamlesh Nagarkoti,Sheikh Zayed Stadium ,4,1,0,0,0,1,0,0,0,0,0.0,0.0,1,0,0.0
4129,Kamlesh Nagarkoti,Wankhede Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
4130,Nikhil Naik,Arun Jaitley Stadium ,1,1,0,0,0,0,1,0,7,7,7.0,43.75,0,0,0.006368289721394496
4131,Nikhil Naik,Punjab Cricket Association IS Bindra Stadium ,1,1,0,0,0,0,0,0,1,1,1.0,33.33,1,0,0.00023102595528062974
4132,Nikhil Naik,Rajiv Gandhi International Stadium ,1,1,0,0,0,0,1,0,22,22,22.0,78.57,1,0,0.05419827172002172
4133,Nikhil Naik,Sheikh Zayed Stadium ,1,1,0,0,0,0,0,0,1,1,1.0,33.33,1,0,0.00023102595528062974
4134,Karun Nair,Arun Jaitley Stadium ,18,17,1,0,4,2,68,10,89,511,31.94,139.24,7,0,0.27743860806048604
4137,Karun Nair,BRSABV Ekana Cricket Stadium ,1,1,0,0,0,0,2,1,15,15,15.0,166.67,0,0,0.06931610435035565
4138,Karun Nair,Dr YS Rajasekhara Reddy Cricket Stadium ,3,3,0,0,0,0,6,0,41,50,16.67,89.29,1,0,0.05852382088135072
4139,Karun Nair,Dubai International Cricket Stadium ,2,2,1,0,0,0,2,0,15*,16,16.0,145.45,0,0,0.06593454094287625
4140,Karun Nair,Eden Gardens ,3,2,0,0,0,0,3,0,15,18,9.0,72.0,3,0,0.019079964584998534
4144,Karun Nair,M Chinnaswamy Stadium ,6,5,1,0,2,1,18,1,56,143,35.75,126.55,2,0,0.22484242961943005
4145,Karun Nair,MA Chidambaram Stadium ,1,1,0,0,0,0,1,0,10,10,10.0,83.33,0,0,0.019981661308228822
4147,Karun Nair,Narendra Modi Stadium ,9,8,1,0,0,0,16,9,48,196,28.0,153.13,2,0,0.22652475635486147
4148,Karun Nair,Punjab Cricket Association IS Bindra Stadium ,6,6,0,0,1,0,13,5,50,155,25.83,138.39,0,0,0.18051284466541492
4149,Karun Nair,Rajiv Gandhi International Stadium ,5,5,0,0,0,1,8,1,33,75,15.0,111.94,1,0,0.07271734351674777
4151,Karun Nair,Sawai Mansingh Stadium ,2,2,0,0,0,0,5,2,44,47,23.5,146.88,1,0,0.13362147105330546
4153,Karun Nair,Sharjah Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4154,Karun Nair,Sheikh Zayed Stadium ,3,3,0,0,0,1,0,0,8,9,3.0,45.0,2,0,0.0031084898755419617
4155,Karun Nair,Wankhede Stadium ,6,5,0,0,1,0,9,2,50,80,16.0,119.4,1,0,0.08395155665086228
4157,Darshan Nalkande,BRSABV Ekana Cricket Stadium ,1,1,0,0,0,0,0,1,12,12,12.0,109.09,0,0,0.03357723904865748
4159,Darshan Nalkande,MA Chidambaram Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
4160,Darshan Nalkande,Narendra Modi Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0.0
4161,Naman Dhir,Arun Jaitley Stadium ,1,1,1,0,0,0,3,2,38*,38,0.0,223.53,2,0,0.0
4162,Naman Dhir,BRSABV Ekana Cricket Stadium ,1,1,0,0,0,0,4,3,46,46,46.0,191.67,2,0,0.33946058377709276
4163,Naman Dhir,Eden Gardens ,1,1,0,0,0,0,1,2,17,17,17.0,283.33,0,0,0.13921793512800246
4164,Naman Dhir,MA Chidambaram Stadium ,1,1,0,0,0,0,1,0,17,17,17.0,141.67,0,0,0.06961142437999543
4165,Naman Dhir,Maharaja Yadavindra Singh International Cricket St ,1,1,0,0,0,0,0,1,9,9,9.0,150.0,0,0,0.031084898755419622
4166,Naman Dhir,Narendra Modi Stadium ,3,3,1,0,0,0,13,1,37,75,37.5,192.31,2,0,0.3123162482514241
4167,Naman Dhir,Rajiv Gandhi International Stadium ,2,1,0,0,0,0,2,2,30,30,30.0,214.29,3,0,0.2207607354147366
4168,Naman Dhir,Sawai Mansingh Stadium ,2,1,0,0,0,0,0,2,20,20,20.0,166.67,0,0,0.10148611093907257
4169,Naman Dhir,Wankhede Stadium ,11,9,3,0,1,3,12,10,62*,140,23.33,160.92,6,0,0.18578949121586746
4172,Dirk Nannes,Arun Jaitley Stadium ,4,1,0,0,0,0,0,0,3,3,3.0,27.27,0,0,0.0011341274168321827
4176,Dirk Nannes,M Chinnaswamy Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4177,Dirk Nannes,MA Chidambaram Stadium ,5,1,1,0,0,0,0,0,0*,0,0.0,0.0,2,0,0.0
4181,Dirk Nannes,Punjab Cricket Association IS Bindra Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4186,Sunil Narine,Arun Jaitley Stadium ,10,7,2,0,0,0,7,8,31,94,18.8,174.07,3,0,0.14902634989793037
4188,Sunil Narine,Barsapara Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4190,Sunil Narine,BRSABV Ekana Cricket Stadium ,1,1,0,0,1,0,6,7,81,81,81.0,207.69,0,0,0.7413375315760933
4192,Sunil Narine,Dr YS Rajasekhara Reddy Cricket Stadium ,2,1,0,0,1,0,7,7,85,85,85.0,217.95,1,0,0.8252012442356841
4193,Sunil Narine,Dubai International Cricket Stadium ,7,5,1,0,0,1,2,2,15,27,6.75,96.43,3,0,0.021689402461843157
4194,Sunil Narine,Eden Gardens ,66,42,3,1,2,6,90,40,109,698,17.9,163.47,15,0,0.19165018182309998
4198,Sunil Narine,M Chinnaswamy Stadium ,10,7,2,0,1,0,13,11,54,151,30.2,186.42,0,0,0.28283864562224115
4199,Sunil Narine,MA Chidambaram Stadium ,9,5,0,0,0,0,5,10,44,95,19.0,193.88,1,0,0.16813780719873894
4200,Sunil Narine,Maharaja Yadavindra Singh International Cricket St ,1,1,0,0,0,0,1,0,5,5,5.0,125.0,0,0,0.011198496682675344
4202,Sunil Narine,Narendra Modi Stadium ,5,4,0,0,0,3,4,0,21,21,5.25,95.45,1,0,0.015489600114085192
4203,Sunil Narine,Punjab Cricket Association IS Bindra Stadium ,6,3,2,0,0,0,4,1,18,26,26.0,185.71,1,0,0.15913816474027262
4204,Sunil Narine,Rajiv Gandhi International Stadium ,7,5,0,0,0,0,7,4,29,57,11.4,219.23,1,0,0.10147948501703842
4206,Sunil Narine,Sawai Mansingh Stadium ,4,4,1,0,0,1,11,4,47,84,28.0,158.49,0,0,0.1971524233395221
4208,Sunil Narine,Sharjah Cricket Stadium ,7,5,0,0,0,1,2,5,26,56,11.2,160.0,0,0,0.07245147871959515
4209,Sunil Narine,Sheikh Zayed Stadium ,11,7,2,0,1,1,7,6,64,97,19.4,153.97,1,0,0.13695380388203612
4210,Sunil Narine,Wankhede Stadium ,16,11,3,0,0,2,5,1,9*,38,4.75,92.68,6,0,0.01612809743475654
4211,Sumit Narwal,Arun Jaitley Stadium ,1,1,0,0,0,0,2,0,12,12,12.0,133.33,0,0,0.04103816373964161
4212,Sumit Narwal,Eden Gardens ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4213,Sumit Narwal,M Chinnaswamy Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
4214,Sumit Narwal,MA Chidambaram Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4215,Sumit Narwal,Narendra Modi Stadium ,2,1,1,0,0,0,0,0,2*,2,0.0,100.0,0,0,0.0
4217,Thangarasu Natarajan,Arun Jaitley Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4219,Thangarasu Natarajan,BRSABV Ekana Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4221,Thangarasu Natarajan,Dubai International Cricket Stadium ,8,3,3,0,0,0,0,0,3*,0,0.0,3.0,1,0,0.0
4222,Thangarasu Natarajan,Eden Gardens ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4224,Thangarasu Natarajan,M Chinnaswamy Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4225,Thangarasu Natarajan,MA Chidambaram Stadium ,5,1,1,0,0,0,0,0,0*,0,0.0,0.0,0,0,0.0
4226,Thangarasu Natarajan,Maharaja Yadavindra Singh International Cricket St ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4228,Thangarasu Natarajan,Narendra Modi Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4229,Thangarasu Natarajan,Punjab Cricket Association IS Bindra Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4230,Thangarasu Natarajan,Rajiv Gandhi International Stadium ,13,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0.0
4232,Thangarasu Natarajan,Sawai Mansingh Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4233,Thangarasu Natarajan,Sharjah Cricket Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0.0
4234,Thangarasu Natarajan,Sheikh Zayed Stadium ,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4235,Thangarasu Natarajan,Wankhede Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4236,Akshdeep Nath,Eden Gardens ,1,1,0,0,0,0,0,1,13,13,13.0,86.67,0,0,0.029734522838508082
4237,Akshdeep Nath,M Chinnaswamy Stadium ,5,4,0,0,0,0,5,1,24,49,12.25,108.89,1,0,0.05218257266998117
4238,Akshdeep Nath,Punjab Cricket Association IS Bindra Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4240,Akshdeep Nath,Sawai Mansingh Stadium ,2,1,0,0,0,0,1,0,9,9,9.0,69.23,1,0,0.014346716938918003
4241,Akshdeep Nath,Wankhede Stadium ,2,2,0,0,0,0,1,0,12,14,7.0,100.0,0,0,0.01895635140771547
4242,Naveen-ul-Haq,Arun Jaitley Stadium ,1,1,1,0,0,0,0,0,2*,2,0.0,50.0,1,0,0.0
4243,Naveen-ul-Haq,BRSABV Ekana Cricket Stadium ,9,3,2,0,0,0,2,0,13,13,13.0,100.0,4,0,0.034307745284998366
4244,Naveen-ul-Haq,Eden Gardens ,1,1,1,0,0,0,0,0,2*,2,0.0,66.67,0,0,0.0
4245,Naveen-ul-Haq,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4246,Naveen-ul-Haq,MA Chidambaram Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,20.0,0,0,0.0
4247,Naveen-ul-Haq,Punjab Cricket Association IS Bindra Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4248,Naveen-ul-Haq,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4249,Naveen-ul-Haq,Sawai Mansingh Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4250,Naveen-ul-Haq,Wankhede Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
4251,Abhishek Nayar,Arun Jaitley Stadium ,2,2,1,0,0,0,3,0,17*,18,18.0,112.5,0,0,0.05962488932812041
4254,Abhishek Nayar,Dubai International Cricket Stadium ,1,1,0,0,0,0,1,0,5,5,5.0,71.43,0,0,0.006399268944348
4255,Abhishek Nayar,Eden Gardens ,2,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
4256,Abhishek Nayar,Himachal Pradesh Cricket Association Stadium ,2,1,0,0,0,0,0,0,3,3,3.0,42.86,1,0,0.0017824972895279553
4258,Abhishek Nayar,M Chinnaswamy Stadium ,4,3,1,0,0,0,1,0,9*,12,6.0,85.71,1,0,0.013190508565681698
4259,Abhishek Nayar,MA Chidambaram Stadium ,2,2,2,0,0,0,6,1,45*,45,0.0,214.29,0,0,0.0
4262,Abhishek Nayar,Punjab Cricket Association IS Bindra Stadium ,5,5,2,0,0,1,0,0,9*,14,4.67,82.35,0,0,0.010414470520637818
4263,Abhishek Nayar,Rajiv Gandhi International Stadium ,3,3,1,0,0,0,7,2,38,70,35.0,145.83,0,0,0.21756931226412726
4264,Abhishek Nayar,Sawai Mansingh Stadium ,2,2,0,0,0,0,3,1,25,35,17.5,125.0,0,0,0.0783894767787274
4266,Abhishek Nayar,Sharjah Cricket Stadium ,1,1,0,0,0,0,2,1,23,23,23.0,115.0,0,0,0.08405952381270318
4267,Abhishek Nayar,Sheikh Zayed Stadium ,2,2,1,0,0,0,2,0,11*,15,15.0,75.0,0,0,0.031191623125197538
4271,Abhishek Nayar,Wankhede Stadium ,7,4,0,0,0,0,4,3,27,67,16.75,139.58,5,0,0.09865061331932058
4272,James Neesham,Arun Jaitley Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
4275,James Neesham,Dubai International Cricket Stadium ,3,2,1,0,0,0,0,2,10*,18,18.0,94.74,0,0,0.050212106799521136
4276,James Neesham,Punjab Cricket Association IS Bindra Stadium ,1,1,0,0,0,0,1,0,12,12,12.0,60.0,0,0,0.018467635373723066
4277,James Neesham,Sharjah Cricket Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
4278,James Neesham,Sheikh Zayed Stadium ,4,4,0,0,0,1,2,0,22,31,7.75,119.23,1,0,0.032024526106037884
4279,Pawan Negi,Arun Jaitley Stadium ,8,7,6,0,0,0,7,2,19*,67,67.0,148.89,1,0,0.42092247648985925
